design_id,altruism_response_gamma,altruism_satisfaction_slope,altruism_satisfaction_theta,break_even_distance_common,election_impact_on_mutation,known_cells,mu,participation_alpha,participation_beta,participation_signal_clip,participation_signal_group_shrink_k,puzzle_local_kappa,puzzle_shock_prob,reward_rate_personal
0,0.6267068387186514,7.665233013878555,0.7313183870500525,0.5134761062540972,1.508344859558353,11.0,0.20463308821852416,0.11363953153730141,5.2369189029776,0.27504751626818635,3.3779118980634086,100.07370656458032,0.05255211428932883,0.24986215573160037
1,0.9552519688637227,5.757137262077747,0.7053848003822476,0.5424105419068254,1.6596106715235015,11.0,0.1319214347729283,0.11759327651469732,5.081008636969715,0.3593892606979806,2.4961777629203232,123.56305809872106,0.061222676979678585,0.23975866250377614
2,0.8883419585193524,10.19013546041645,0.7006390158162714,0.49454624135490693,2.3572790086470583,12.0,0.217903111918421,0.11201505475069158,5.308807247317429,0.34974652264891154,3.6894839208412145,120.46699940301644,0.0479505705534057,0.2585305812509441
3,0.5852872390916283,8.178331848379688,0.7339313779821748,0.49375819563225737,2.8559304966157977,14.0,0.21207201351204735,0.11415506831740742,5.017204708138689,0.3793431144350629,2.7512552571313424,123.63078228973876,0.05486874426216304,0.2508944164545999
4,0.8405082641884587,4.886085664612077,0.6979864948831875,0.5346466471401867,1.5793606779108726,13.0,0.24382381488023777,0.10860889131477183,5.235343335139163,0.27030297147229443,2.4303034353254334,91.05819548351296,0.06775796337167181,0.23033300221767294
5,0.9939097553294649,6.268666222584348,0.7535708859862341,0.46617512482641116,1.4958827989278984,14.0,0.11845599158557454,0.11324246468688114,5.012573876622145,0.32716097579335146,2.269128221923673,123.33280618676085,0.07156240934109946,0.24034404595986544
6,0.6408627050287176,7.24244041884941,0.7488410317501167,0.45920666308757707,2.4489279927236574,16.0,0.27845701916328425,0.11871737770788926,5.041759427076062,0.27756477515668526,1.9548325792564951,123.30210177903118,0.07302291738847969,0.23143652215035593
7,0.8923271196107299,4.713304492778989,0.6720710068125272,0.49175881268230265,1.2458192603222273,12.0,0.1932219270501107,0.1178243450779251,5.040363103723166,0.3420561437541517,2.7975280547015045,93.9324033727842,0.04067631793625429,0.2564439515721927
8,0.52526184991178,7.7786918636233064,0.6654748582681668,0.4823088187526906,2.8633318108702337,13.0,0.20222244090833397,0.13468021730151958,5.034458846758073,0.3603629358331338,2.3440777931001318,121.78268373038492,0.06359293127213146,0.2351003691129326
9,0.8971726040239744,7.11398044211926,0.7566031683977605,0.5220260602691301,2.5166756992563544,14.0,0.13279803327820644,0.12219342203176982,5.235664877317518,0.3768758775214095,1.7559330921969403,113.2742091228183,0.0668589521323837,0.24230276644851478
